,experiment,kernel,disk_name,cpu_model,ncpus,mem_sys,boot_type,workload,input_size,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,numCycles,numFpInsts,numIntInsts,numLoadInsts,numStoreInsts,numMemRefs,numIntAlu,numFpAlu,numSimdAlu,numSimdCrypto,avgRdQLen
36,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,1,MESI_Two_Level,systemd,lu.A.x,n/a,70.07159543037415,Success,50313104886313.0,4588892307.0,3876836.0,4588873879.0,42.23,900618303395.0,1000000000000.0,193798797955.0,193798797955.0,38.035222,38035221574797.0,89018196418,0,0,0,0,0,0,0,0,0,0.0
37,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,simple,2,MESI_Two_Level,init,n/a,n/a,3152.9689033031464,Success,1986574127311.0,217095.0,4459420.0,485728.0,3125.58,635586769.0,1000000000000.0,678545453.0,1518178376.0,1.986574,1986574127311.0,11931095677,21472,1417676337,137546996,95056726,232603722,1228319027,1137,11537,0,1.0
38,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,64,MESI_Two_Level,systemd,mg.A.x,n/a,151164.96937465668,Success,30030364589654.0,272183.0,8522816.0,323309.0,149239.74,9202989.0,1000000000000.0,40620457763.0,48250572329.0,1.373452,1373451626548.0,263760907074,9345579294,10915817718,4152992451,888881915,5041874366,6731114745,4242326539,4154617010,0,31.04
39,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,kvm,4,classic,init,n/a,n/a,10.013739347457886,Success,3758464111663.0,505196542.0,3466100.0,505153637.0,2.56,1466667409014.0,1000000000000.0,1294479362.0,1294479362.0,3.758464,3758464111663.0,42882171977,0,0,0,0,0,0,0,0,0,0.0
40,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,1,classic,systemd,n/a,n/a,3478.787373304367,Success,3225526927983.0,652339.0,9957440.0,1454306.0,3473.08,928722863.0,1000000000000.0,2265625167.0,5050918890.0,3.225527,3225526927983.0,9686664607,74760938,4762405026,568211577,431289234,999500811,3830150181,2132663,43648860,0,0.0
41,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,2,MESI_Two_Level,systemd,streamcluster,simlarge,60.05231714248657,Success,29573438907385.0,1820776365.0,3892928.0,1820749952.0,12.79,849820368813.0,1000000000000.0,23288879072.0,23288879072.0,10.869926,10869926084775.0,98773623224,0,0,0,0,0,0,0,0,0,0.0
42,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,4,MI_example,systemd,n/a,n/a,26954.16571879387,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
43,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,2,classic,init,n/a,n/a,36006.17738056183,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
44,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,2,MESI_Two_Level,systemd,n/a,n/a,20091.95809864998,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
45,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,2,MI_example,systemd,n/a,n/a,10.018338680267334,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
46,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,1,MESI_Two_Level,systemd,bodytrack,simsmall,45.04958486557007,Success,15865267377142.0,17399675043.0,3869224.0,17389307409.0,0.28,738941444875.0,1000000000000.0,4843335631.0,4843335631.0,0.20583,205830395568.0,16441241839,0,0,0,0,0,0,0,0,0,0.0
47,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,32,MESI_Two_Level,systemd,ft.A.x,n/a,242220.79899144173,Success,24587326658072.0,159278.0,6658396.0,212492.0,241768.46,16768205.0,1000000000000.0,38508392949.0,51373982607.0,4.054023,4054023240679.0,389433446999,24145510788,20043430565,4471120644,4100818332,8571938976,17444095352,10569134031,7522684676,0,22.78
48,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,1,classic,init,n/a,n/a,925.9575366973877,Success,1726518156597.0,800424.0,3706920.0,1711846.0,920.66,1875310731.0,1000000000000.0,736915928.0,1576023272.0,1.726518,1726518156597.0,5184828509,21393,1484521120,138084947,86093558,224178505,1307973765,1119,11515,0,0.0
49,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,2,classic,init,n/a,n/a,36006.09910488129,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
50,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,o3,8,MI_example,init,n/a,n/a,36005.89945888519,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
51,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,2,MI_example,init,n/a,n/a,3023.0218324661255,Success,2230451998318.0,240618.0,5169808.0,513791.0,3017.56,739158651.0,1000000000000.0,726076784.0,1550391995.0,2.230452,2230451998318.0,13395062115,21345,1458467733,137005259,87730759,224736018,1280677487,1103,11515,0,1.04
52,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,2,classic,init,n/a,n/a,956.0526928901672,Success,1739756413422.0,831175.0,3864864.0,1754068.0,952.34,1826813992.0,1000000000000.0,791564633.0,1670477298.0,1.739756,1739756413422.0,10449823706,21401,1564599387,143072331,87633092,230705423,1394936288,1119,11523,0,0.0
53,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,kvm,8,MI_example,systemd,n/a,n/a,35.0494544506073,Success,17248460737870.0,288315720.0,3987176.0,288311033.0,14.9,1157319839349.0,1000000000000.0,4296918039.0,4296918039.0,17.248461,17248460737870.0,395272953973,0,0,0,0,0,0,0,0,0,0.0
54,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,32,MESI_Two_Level,systemd,mg.A.x,n/a,700.6671652793884,Success,25171862658616.0,3133469711.0,4685144.0,3133405609.0,9.48,109881782234.0,1000000000000.0,29690126113.0,29690126113.0,1.041172,1041171765687.0,85498102914,0,0,0,0,0,0,0,0,0,0.0
55,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,1,MI_example,init,n/a,n/a,10.055291891098022,Success,2321529854626.0,526154939.0,3996352.0,526070153.0,1.41,1642113939849.0,1000000000000.0,743709991.0,743709991.0,2.32153,2321529854626.0,5991937424,0,0,0,0,0,0,0,0,0,0.0
56,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,2,MI_example,systemd,n/a,n/a,10.016596555709839,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
57,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,4,classic,systemd,n/a,n/a,36007.74101495743,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
58,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,2,MESI_Two_Level,systemd,n/a,n/a,25.03158950805664,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
59,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,2,classic,init,n/a,n/a,36008.07809281349,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
60,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,timing,1,MESI_Two_Level,systemd,x264,simsmall,575.4706883430481,Success,20797853214782.0,6952164.0,4334372.0,7076206.0,535.47,9518760050.0,1000000000000.0,3722641642.0,3789063185.0,5.096967,5096966536729.0,15303173524,33664351,122496935,22255275,12543513,34798788,92168378,714730,22192446,0,1.0
61,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,2,MESI_Two_Level,systemd,ferret,simsmall,50.04925322532654,Success,20031284511154.0,7187977475.0,3893184.0,7186122666.0,0.76,788715990278.0,1000000000000.0,5459953159.0,5459953159.0,0.599296,599296297806.0,46273711741,0,0,0,0,0,0,0,0,0,0.0
62,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,kvm,8,classic,init,n/a,n/a,10.016932249069214,Success,4570390914454.0,542565527.0,3622400.0,542542004.0,3.88,1179064868223.0,1000000000000.0,2103035389.0,2103035389.0,4.570391,4570390914454.0,105486516380,0,0,0,0,0,0,0,0,0,0.0
63,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,o3,4,MESI_Two_Level,init,n/a,n/a,12652.91092467308,Success,1702604802888.0,139243.0,4763724.0,306794.0,12617.02,134945032.0,1000000000000.0,1756827957.0,3870827413.0,1.702605,1702604802888.0,1739690064,0,0,0,0,0,7050122617,2718,27401,0,1.07
64,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,2,MI_example,systemd,n/a,n/a,22194.206008672714,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
65,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,atomic,8,classic,init,n/a,n/a,1296.4373519420624,Success,1896914579607.0,828153.0,4396776.0,1695764.0,1284.54,1476727668.0,1000000000000.0,1063794865.0,2178275437.0,1.896915,1896914579607.0,45562800029,24593,2015092934,180863638,101065564,281929202,1836756936,2177,11537,0,0.0
66,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,kvm,1,MI_example,systemd,n/a,n/a,15.025895118713379,Success,16168593152071.0,290091165.0,3996048.0,290083527.0,9.63,1678860153548.0,1000000000000.0,2793696114.0,2793696114.0,16.168593,16168593152071.0,42301662713,0,0,0,0,0,0,0,0,0,0.0
67,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,2,MESI_Two_Level,init,n/a,n/a,30.06523585319519,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
68,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,kvm,8,MI_example,systemd,n/a,n/a,40.04690670967102,Success,24003503541262.0,259388141.0,4098992.0,259385616.0,17.72,1354282734284.0,1000000000000.0,4597382562.0,4597382562.0,24.003504,24003503541262.0,552832573619,0,0,0,0,0,0,0,0,0,0.0
69,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,1,MESI_Two_Level,init,n/a,n/a,25.067469835281372,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
70,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,8,classic,systemd,n/a,n/a,25.02785348892212,Success,19222348927483.0,287662731.0,3629736.0,287658793.0,15.19,1265410791655.0,1000000000000.0,4369698803.0,4369698803.0,19.222349,19222348927483.0,441396283951,0,0,0,0,0,0,0,0,0,0.0
71,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,timing,2,MESI_Two_Level,systemd,canneal,simsmall,2086.760731458664,Success,20735223623732.0,2691027.0,4221632.0,2791796.0,2037.05,241335013.0,1000000000000.0,5481758238.0,5687029558.0,0.491612,491611635262.0,2946537189,158052371,348357196,78810908,25291865,104102773,243836667,43087405,134418018,0,1.0
72,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,atomic,8,MESI_Two_Level,init,n/a,n/a,50.05968689918518,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
73,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,16,MESI_Two_Level,systemd,cg.A.x,n/a,275.2697024345398,Success,22814060348422.0,1867221883.0,4197388.0,1867176078.0,11.24,195525398771.0,1000000000000.0,20982851151.0,20982851151.0,2.197273,2197273229298.0,85133836682,0,0,0,0,0,0,0,0,0,0.0
74,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,4,MI_example,systemd,n/a,n/a,18054.428654193878,Success,8243012327077.0,147895.0,14588480.0,313648.0,18046.07,456776102.0,1000000000000.0,2668920136.0,5660118473.0,8.243012,8243012327077.0,99009481747,75794893,5390564037,670909240,437167362,1108076602,4363697743,2118257,44328462,0,1.41
75,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,kvm,4,MESI_Two_Level,systemd,n/a,n/a,36009.4348256588,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
76,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,1,classic,init,n/a,n/a,5.038628101348877,Success,2286422448175.0,520305556.0,3399068.0,520226192.0,1.45,1581779566102.0,1000000000000.0,751955693.0,751955693.0,2.286422,2286422448175.0,5884119373,0,0,0,0,0,0,0,0,0,0.0
77,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,8,classic,systemd,n/a,n/a,4434.712466716766,Success,2878501272345.0,703445.0,13078076.0,1450107.0,4423.51,650727879.0,1000000000000.0,3111695531.0,6414562234.0,2.878501,2878501272345.0,69153068173,76433851,6093531684,710078722,465136610,1175215332,5053458687,2115016,44825023,0,0.0
78,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,kvm,4,MESI_Two_Level,systemd,n/a,n/a,50.044108390808105,Success,15466436518897.0,269206422.0,3919544.0,269200000.0,13.26,1166221194700.0,1000000000000.0,3570120784.0,3570120784.0,15.466437,15466436518897.0,173524829048,0,0,0,0,0,0,0,0,0,0.0
79,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,64,MESI_Two_Level,systemd,lu.A.x,n/a,18005.317675113678,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
80,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,2,classic,init,n/a,n/a,1146.043702840805,Success,1777416073731.0,674894.0,3841804.0,1635112.0,1140.43,1558550442.0,1000000000000.0,769668002.0,1864728558.0,1.777416,1777416073731.0,10675941390,23144,1699126679,161834515,127594316,289428831,1484998247,1697,11529,0,0.0
81,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,o3,8,classic,systemd,n/a,n/a,36006.23533797264,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
82,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,2,classic,systemd,n/a,n/a,3744.0671062469482,Success,2881344727044.0,731952.0,10857164.0,1539008.0,3739.49,770518455.0,1000000000000.0,2737126156.0,5755101375.0,2.881345,2881344727044.0,17317113439,75758308,5518763001,667881462,448005567,1115887029,4460505856,2114554,44324271,0,0.0
83,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,4,MESI_Two_Level,init,n/a,n/a,35.04411029815674,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
84,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,1,classic,init,n/a,n/a,2061.9548597335815,Success,1792246851774.0,488637.0,3684884.0,1217242.0,2058.02,870861207.0,1000000000000.0,1005622777.0,2505105255.0,1.792247,1792246851774.0,5382122654,24825,2282370308,219648356,127454387,347102743,2068298501,2257,11529,0,1.18
85,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,1,classic,systemd,n/a,n/a,3623.859043598175,Success,3313456018875.0,739644.0,10054356.0,1556203.0,3617.54,915942617.0,1000000000000.0,2675688226.0,5629621462.0,3.313456,3313456018875.0,9951302120,74938934,5415784482,659405938,444268506,1103674444,4350078693,2104250,43744887,0,0.0
