,experiment,kernel,disk_name,param0,param1,param2,param3,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,param4,param5
23,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,kvm,MESI_Two_Level,2,systemd,40.04025459289551,Success,14370553718011.0,268530646.0,3885788.0,268526882.0,11.28,1273524593006.0,1000000000000.0,3030073143.0,3030073143.0,14.370554,14370553718011.0,,
24,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,MESI_Two_Level,4,init,30.033170223236084,Unknown failed,,,,,,,,,,,,,
25,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,MESI_Two_Level,2,systemd,35.033039808273315,Success,16595406561088.0,284497568.0,3892368.0,284492711.0,10.74,1545110239973.0,1000000000000.0,3055615577.0,3055615577.0,16.595407,16595406561088.0,,
26,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,mg.A.x,16,255.27919054031372,Success,21533828380237.0,2945980997.0,4196364.0,2945878638.0,6.48,162617615129.0,1000000000000.0,19100242379.0,19100242379.0,1.054373,1054373425812.0,,
27,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,o3,MESI_Two_Level,2,systemd,36009.33667707443,timeout,,,,,,,,,,,,,
28,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,blackscholes,simsmall,1,45.0399067401886,Success,15341463716797.0,37043852559.0,3868196.0,36965663295.0,0.1,456841911072.0,1000000000000.0,3800382066.0,3800382066.0,0.046981,46980551754.0,,
29,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,atomic,MI_example,8,systemd,20.032349824905396,Unknown failed,,,,,,,,,,,,,
30,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,MESI_Two_Level,1,systemd,25.026029109954834,Unknown failed,,,,,,,,,,,,,
31,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,MESI_Two_Level,8,init,3393.43168258667,Success,1987064582032.0,207587.0,4889512.0,528320.0,3344.91,594055682.0,1000000000000.0,694361768.0,1767183336.0,1.987065,1987064582032.0,,
32,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,classic,2,init,921.0146658420563,Success,1698378634953.0,786293.0,3856372.0,1740593.0,915.85,1854430836.0,1000000000000.0,720125437.0,1594120319.0,1.698379,1698378634953.0,,
33,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,raytrace,simsmall,8,110.10074543952942,Success,27623059900057.0,47442804527.0,4010372.0,47425871475.0,0.53,582894283668.0,1000000000000.0,25087213759.0,25087213759.0,0.308358,308357616717.0,,
34,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,simple,MI_example,8,init,3238.2084918022156,Success,2129668716151.0,216231.0,5445100.0,550099.0,3216.34,662140166.0,1000000000000.0,695473858.0,1769306575.0,2.129669,2129668716151.0,,
35,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,x264,simsmall,1,40.04057955741882,Success,16392031466428.0,11973893996.0,3869988.0,11967494811.0,0.37,768789678770.0,1000000000000.0,4412333922.0,4412333922.0,0.28347,283470272973.0,,
36,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,lu.A.x,1,70.07159543037415,Success,50313104886313.0,4588892307.0,3876836.0,4588873879.0,42.23,900618303395.0,1000000000000.0,193798797955.0,193798797955.0,38.035222,38035221574797.0,,
37,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,simple,MESI_Two_Level,2,init,3152.9689033031464,Success,1986574127311.0,217095.0,4459420.0,485728.0,3125.58,635586769.0,1000000000000.0,678545453.0,1518178376.0,1.986574,1986574127311.0,,
38,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,MESI_Two_Level,mg.A.x,64,151164.96937465668,Success,30030364589654.0,272183.0,8522816.0,323309.0,149239.74,9202989.0,1000000000000.0,40620457763.0,48250572329.0,1.373452,1373451626548.0,,
39,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,kvm,classic,4,init,10.013739347457886,Success,3758464111663.0,505196542.0,3466100.0,505153637.0,2.56,1466667409014.0,1000000000000.0,1294479362.0,1294479362.0,3.758464,3758464111663.0,,
40,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,classic,1,systemd,3478.787373304367,Success,3225526927983.0,652339.0,9957440.0,1454306.0,3473.08,928722863.0,1000000000000.0,2265625167.0,5050918890.0,3.225527,3225526927983.0,,
41,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,streamcluster,simlarge,2,60.05231714248657,Success,29573438907385.0,1820776365.0,3892928.0,1820749952.0,12.79,849820368813.0,1000000000000.0,23288879072.0,23288879072.0,10.869926,10869926084775.0,,
42,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,MI_example,4,systemd,26954.16571879387,kernel panic,,,,,,,,,,,,,
43,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,simple,classic,2,init,36006.17738056183,timeout,,,,,,,,,,,,,
44,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,MESI_Two_Level,2,systemd,20091.95809864998,kernel panic,,,,,,,,,,,,,
45,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,atomic,MI_example,2,systemd,10.018338680267334,Unknown failed,,,,,,,,,,,,,
