index,Experiment Name,Kernel Version,CPU Model,Num. of CPUs,Memory System,Boot Type,Workload,Input Size,Host Time,Sim. Status Result,Final Tick,Host Instruction Rate,Host Memory Usage,Host Opcode Rate,Host Second,Host Tick Rate,Simulation Frequency,Simulated Instructions,Simulated Opcodes,Simulated Seconds,Simulated Ticks,Number of Cycles,Number of Floating Point Instructions,Number of Integer Instructions,Number of Load Instructions,Number of Store Instructions,Number of Memory References,Number of Integer ALU,Number of FP ALU,Number of SIMD ALU,Number of SIMD Crypto,Total Cache Miss Rate,Avg Read Queue Length
0,Linux Tests,vmlinux-5.4.49,KVM,4,MESI,Systemd,boot.Linux,test,50.05113339,success,1.82554E+13,270006643,3926640,270002997,12.91,1.41361E+12,1E+12,3486815699,3486815699,18.255394,1.82554E+13,2.07181E+11,0,0,0,0,0,0,0,0,0,0,0
1,Linux Tests,vmlinux-5.4.49,TimingSimpleCPU,4,MESI,Systemd,boot.Linux,test,14379.41379,success,3.7581E+12,193465,12569504,406493,14346.04,261960457,1E+12,2775457125,5831568635,3.758096,3.7581E+12,45138197139,76054381,5588001987,676923822,455843298,1132767120,4516872933,2110495,44566360,0,54867132,1.02
2,Linux Tests,vmlinux-4.9.186,KVM,1,Classic,Systemd,boot.Linux,test,15.02543163,success,1.27178E+13,283756876,3376556,283749765,8.93,1.42402E+12,1E+12,2534133671,2534133671,12.717775,1.27178E+13,32334909690,0,0,0,0,0,0,0,0,0,0,0
3,PARSEC Experiments,vmlinux-4.19.83,KVM,2,MESI,Systemd,parsec.freqmine,simlarge,60.05528164,success,2.88817E+13,3525073096,3892924,3525015282,10.04,8.71581E+11,1E+12,35379882048,35379882048,8.747912,8.74791E+12,85227484233,0,0,0,0,0,0,0,0,0,0,0
4,Linux Tests,vmlinux-4.4.186,AtomicCPU,1,MESI,Init,boot.Linux,test,25.03298616,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
5,Linux Tests,vmlinux-4.4.186,TimingSimpleCPU,2,MI,Systemd,boot.Linux,test,16045.90592,success,9.31542E+12,159123,13144084,339260,16037.14,580865213,1E+12,2551883367,5440766098,9.315419,9.31542E+12,55946270572,74818042,5193692971,651536442,429086051,1080622493,4175220137,2132648,43630402,0,138882499,1.2
6,Linux Tests,vmlinux-4.4.186,DerivO3CPU,4,Classic,Init,boot.Linux,test,36008.11605,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
7,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.streamcluster,simlarge,50.04494071,success,2.55633E+13,1990134120,3869224,1990104402,11.58,8.69169E+11,1E+12,23044013956,23044013956,10.064406,1.00644E+13,38892432525,0,0,0,0,0,0,0,0,0,0,0
8,Linux Tests,vmlinux-5.4.49,AtomicCPU,4,Classic,Systemd,boot.Linux,test,4139.201408,success,2.93728E+12,692111,12081360,1445893,4133.2,710656869,1E+12,2860630395,5976157284,2.937284,2.93728E+12,35289359479,74961738,5711475360,681830412,454496614,1136327026,4658688964,2115127,43784076,0,155143644,0
9,PARSEC Experiments,vmlinux-4.19.83,KVM,8,MESI,Systemd,parsec.raytrace,native,605.5159826,success,3.62793E+14,2702918446,4548168,2702916412,371.44,6.8415E+11,1E+12,1.00397E+12,1.00397E+12,254.120023,2.5412E+14,5.95611E+12,0,0,0,0,0,0,0,0,0,0,0
10,Linux Tests,vmlinux-4.4.186,KVM,2,MI,Init,boot.Linux,test,10.01346684,success,3.53436E+12,451630532,4006296,451580447,2.03,1.74379E+12,1E+12,915258181,915258181,3.534357,3.53436E+12,19718031402,0,0,0,0,0,0,0,0,0,0,0
11,Linux Tests,vmlinux-4.4.186,TimingSimpleCPU,8,MI,Systemd,boot.Linux,test,18844.93001,success,7.9514E+12,154357,15888224,324746,18824.77,422390047,1E+12,2905738506,6113270745,7.951397,7.9514E+12,1.91015E+11,76152737,5797613122,712038708,456100956,1168139664,4749345700,2111432,44557052,0,165787762,1.57
12,Linux Tests,vmlinux-4.14.134,AtomicCPU,4,Classic,Init,boot.Linux,test,1176.212405,success,1.83036E+12,753136,4009744,1756529,1170.53,1563700940,1E+12,881568253,2056069623,1.830359,1.83036E+12,21986704523,21944,1871453673,174692154,129480712,304172866,1660628757,1297,11529,0,17358140,0
13,Linux Tests,vmlinux-4.19.83,AtomicCPU,8,MESI,Systemd,boot.Linux,test,65.07232928,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
14,Linux Tests,vmlinux-4.4.186,AtomicCPU,2,MI,Init,boot.Linux,test,5.010820866,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
15,Linux Tests,vmlinux-4.4.186,TimingSimpleCPU,4,Classic,Init,boot.Linux,test,36005.57525,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
16,Linux Tests,vmlinux-5.4.49,DerivO3CPU,8,MI,Systemd,boot.Linux,test,36008.25512,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
17,Linux Tests,vmlinux-4.14.134,KVM,1,Classic,Init,boot.Linux,test,5.011314869,success,2.85653E+12,419102411,3392336,419058753,2.04,1.40026E+12,1E+12,854858390,854858390,2.856525,2.85653E+12,7035093583,0,0,0,0,0,0,0,0,0,0,0
18,Linux Tests,vmlinux-4.14.134,DerivO3CPU,2,MI,Systemd,boot.Linux,test,3708.945776,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
19,NPB Experiments,vmlinux-4.19.83,TimingSimpleCPU,1,MESI,Systemd,npb.is.A.x,n/a,14262.31825,success,1.86094E+13,487650,4131552,596215,14234.05,262086537,1E+12,6941231750,8486549516,3.730553,3.73055E+12,11202862449,2797253,3761574149,595522665,345401328,940923993,2820592547,10475,72104,0,43010819,1
20,Linux Tests,vmlinux-5.4.49,KVM,1,MESI,Systemd,boot.Linux,test,30.03116202,success,1.26578E+13,363538516,3872812,363528715,7.8,1.62204E+12,1E+12,2836831514,2836831514,12.657815,1.26578E+13,33003277241,0,0,0,0,0,0,0,0,0,0,0
21,NPB Experiments,vmlinux-4.19.83,KVM,64,MESI,Systemd,npb.ep.A.x,n/a,1986.796922,success,3.48272E+13,11201021129,6100032,11200542138,6.54,63307180803,1E+12,73230128925,73230128925,0.41391,4.1391E+11,72788803297,0,0,0,0,0,0,0,0,0,0,0
22,PARSEC Experiments,vmlinux-4.19.83,TimingSimpleCPU,2,MESI,Systemd,parsec.dedup,simsmall,12100.34381,success,2.19135E+13,495232,4250300,588813,12047.77,177443457,1E+12,5966435147,7093886643,2.137797,2.1378E+12,12829880211,35829961,3120453905,594992059,319176661,914168720,2209499204,626043,1284104,0,7980818,1
23,Linux Tests,vmlinux-4.14.134,KVM,2,MESI,Systemd,boot.Linux,test,40.04025459,success,1.43706E+13,268530646,3885788,268526882,11.28,1.27352E+12,1E+12,3030073143,3030073143,14.370554,1.43706E+13,77885178774,0,0,0,0,0,0,0,0,0,0,0
24,Linux Tests,vmlinux-4.9.186,AtomicCPU,4,MESI,Init,boot.Linux,test,30.03317022,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
25,Linux Tests,vmlinux-5.4.49,KVM,2,MESI,Systemd,boot.Linux,test,35.03303981,success,1.65954E+13,284497568,3892368,284492711,10.74,1.54511E+12,1E+12,3055615577,3055615577,16.595407,1.65954E+13,91476287718,0,0,0,0,0,0,0,0,0,0,0
26,NPB Experiments,vmlinux-4.19.83,KVM,16,MESI,Systemd,npb.mg.A.x,n/a,255.2791905,success,2.15338E+13,2945980997,4196364,2945878638,6.48,1.62618E+11,1E+12,19100242379,19100242379,1.054373,1.05437E+12,42715764944,0,0,0,0,0,0,0,0,0,0,0
27,Linux Tests,vmlinux-4.19.83,DerivO3CPU,2,MESI,Systemd,boot.Linux,test,36009.33668,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
28,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.blackscholes,simsmall,45.03990674,success,1.53415E+13,37043852559,3868196,36965663295,0.1,4.56842E+11,1E+12,3800382066,3800382066,0.046981,46980551754,15542497142,0,0,0,0,0,0,0,0,0,0,0
29,Linux Tests,vmlinux-4.19.83,AtomicCPU,8,MI,Systemd,boot.Linux,test,20.03234982,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
30,Linux Tests,vmlinux-5.4.49,AtomicCPU,1,MESI,Systemd,boot.Linux,test,25.02602911,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
31,Linux Tests,vmlinux-4.9.186,TimingSimpleCPU,8,MESI,Init,boot.Linux,test,3393.431683,success,1.98706E+12,207587,4889512,528320,3344.91,594055682,1E+12,694361768,1767183336,1.987065,1.98706E+12,47727722345,21888,1567752889,118381661,113429542,231811203,1440427472,1265,11537,0,7878165,1
32,Linux Tests,vmlinux-4.4.186,AtomicCPU,2,Classic,Init,boot.Linux,test,921.0146658,success,1.69838E+12,786293,3856372,1740593,915.85,1854430836,1E+12,720125437,1594120319,1.698379,1.69838E+12,10200690005,21369,1472864350,141142241,81072185,222214426,1326313578,1105,11529,0,15834144,0
33,PARSEC Experiments,vmlinux-4.19.83,KVM,8,MESI,Systemd,parsec.raytrace,simsmall,110.1007454,success,2.76231E+13,47442804527,4010372,47425871475,0.53,5.82894E+11,1E+12,25087213759,25087213759,0.308358,3.08358E+11,1.79197E+11,0,0,0,0,0,0,0,0,0,0,0
34,Linux Tests,vmlinux-4.9.186,TimingSimpleCPU,8,MI,Init,boot.Linux,test,3238.208492,success,2.12967E+12,216231,5445100,550099,3216.34,662140166,1E+12,695473858,1769306575,2.129669,2.12967E+12,51152820109,21841,1570014356,119227155,114000562,233227717,1441006698,1257,11529,0,10765268,1.05
35,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.x264,simsmall,40.04057956,success,1.6392E+13,11973893996,3869988,11967494811,0.37,7.6879E+11,1E+12,4412333922,4412333922,0.28347,2.8347E+11,16553431197,0,0,0,0,0,0,0,0,0,0,0
36,NPB Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,npb.lu.A.x,n/a,70.07159543,success,5.03131E+13,4588892307,3876836,4588873879,42.23,9.00618E+11,1E+12,1.93799E+11,1.93799E+11,38.035222,3.80352E+13,89018196418,0,0,0,0,0,0,0,0,0,0,0
37,Linux Tests,vmlinux-4.19.83,TimingSimpleCPU,2,MESI,Init,boot.Linux,test,3152.968903,success,1.98657E+12,217095,4459420,485728,3125.58,635586769,1E+12,678545453,1518178376,1.986574,1.98657E+12,11931095677,21472,1417676337,137546996,95056726,232603722,1228319027,1137,11537,0,6096692,1
38,NPB Experiments,vmlinux-4.19.83,TimingSimpleCPU,64,MESI,Systemd,npb.mg.A.x,n/a,151164.9694,success,3.00304E+13,272183,8522816,323309,149239.74,9202989,1E+12,40620457763,48250572329,1.373452,1.37345E+12,2.63761E+11,9345579294,10915817718,4152992451,888881915,5041874366,6731114745,4242326539,4154617010,0,372436835,31.04
39,Linux Tests,vmlinux-4.4.186,KVM,4,Classic,Init,boot.Linux,test,10.01373935,success,3.75846E+12,505196542,3466100,505153637,2.56,1.46667E+12,1E+12,1294479362,1294479362,3.758464,3.75846E+12,42882171977,0,0,0,0,0,0,0,0,0,0,0
40,Linux Tests,vmlinux-4.9.186,AtomicCPU,1,Classic,Systemd,boot.Linux,test,3478.787373,success,3.22553E+12,652339,9957440,1454306,3473.08,928722863,1E+12,2265625167,5050918890,3.225527,3.22553E+12,9686664607,74760938,4762405026,568211577,431289234,999500811,3830150181,2132663,43648860,0,147484282,0
41,PARSEC Experiments,vmlinux-4.19.83,KVM,2,MESI,Systemd,parsec.streamcluster,simlarge,60.05231714,success,2.95734E+13,1820776365,3892928,1820749952,12.79,8.4982E+11,1E+12,23288879072,23288879072,10.869926,1.08699E+13,98773623224,0,0,0,0,0,0,0,0,0,0,0
42,Linux Tests,vmlinux-4.4.186,DerivO3CPU,4,MI,Systemd,boot.Linux,test,26954.16572,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
43,Linux Tests,vmlinux-4.14.134,TimingSimpleCPU,2,Classic,Init,boot.Linux,test,36006.17738,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
44,Linux Tests,vmlinux-4.4.186,DerivO3CPU,2,MESI,Systemd,boot.Linux,test,20091.9581,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
45,Linux Tests,vmlinux-4.9.186,AtomicCPU,2,MI,Systemd,boot.Linux,test,10.01833868,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
46,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.bodytrack,simsmall,45.04958487,success,1.58653E+13,17399675043,3869224,17389307409,0.28,7.38941E+11,1E+12,4843335631,4843335631,0.20583,2.0583E+11,16441241839,0,0,0,0,0,0,0,0,0,0,0
47,NPB Experiments,vmlinux-4.19.83,TimingSimpleCPU,32,MESI,Systemd,npb.ft.A.x,n/a,242220.799,success,2.45873E+13,159278,6658396,212492,241768.46,16768205,1E+12,38508392949,51373982607,4.054023,4.05402E+12,3.89433E+11,24145510788,20043430565,4471120644,4100818332,8571938976,17444095352,10569134031,7522684676,0,697113219,22.78
48,Linux Tests,vmlinux-5.4.49,AtomicCPU,1,Classic,Init,boot.Linux,test,925.9575367,success,1.72652E+12,800424,3706920,1711846,920.66,1875310731,1E+12,736915928,1576023272,1.726518,1.72652E+12,5184828509,21393,1484521120,138084947,86093558,224178505,1307973765,1119,11515,0,14445906,0
49,Linux Tests,vmlinux-5.4.49,TimingSimpleCPU,2,Classic,Init,boot.Linux,test,36006.0991,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
50,Linux Tests,vmlinux-4.14.134,DerivO3CPU,8,MI,Init,boot.Linux,test,36005.89946,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
51,Linux Tests,vmlinux-5.4.49,TimingSimpleCPU,2,MI,Init,boot.Linux,test,3023.021832,success,2.23045E+12,240618,5169808,513791,3017.56,739158651,1E+12,726076784,1550391995,2.230452,2.23045E+12,13395062115,21345,1458467733,137005259,87730759,224736018,1280677487,1103,11515,0,8997810,1.04
52,Linux Tests,vmlinux-5.4.49,AtomicCPU,2,Classic,Init,boot.Linux,test,956.0526929,success,1.73976E+12,831175,3864864,1754068,952.34,1826813992,1E+12,791564633,1670477298,1.739756,1.73976E+12,10449823706,21401,1564599387,143072331,87633092,230705423,1394936288,1119,11523,0,14848380,0
53,Linux Tests,vmlinux-4.9.186,KVM,8,MI,Systemd,boot.Linux,test,35.04945445,success,1.72485E+13,288315720,3987176,288311033,14.9,1.15732E+12,1E+12,4296918039,4296918039,17.248461,1.72485E+13,3.95273E+11,0,0,0,0,0,0,0,0,0,0,0
54,NPB Experiments,vmlinux-4.19.83,KVM,32,MESI,Systemd,npb.mg.A.x,n/a,700.6671653,success,2.51719E+13,3133469711,4685144,3133405609,9.48,1.09882E+11,1E+12,29690126113,29690126113,1.041172,1.04117E+12,85498102914,0,0,0,0,0,0,0,0,0,0,0
55,Linux Tests,vmlinux-5.4.49,KVM,1,MI,Init,boot.Linux,test,10.05529189,success,2.32153E+12,526154939,3996352,526070153,1.41,1.64211E+12,1E+12,743709991,743709991,2.32153,2.32153E+12,5991937424,0,0,0,0,0,0,0,0,0,0,0
56,Linux Tests,vmlinux-4.14.134,AtomicCPU,2,MI,Systemd,boot.Linux,test,10.01659656,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
57,Linux Tests,vmlinux-5.4.49,TimingSimpleCPU,4,Classic,Systemd,boot.Linux,test,36007.74101,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
58,Linux Tests,vmlinux-4.9.186,AtomicCPU,2,MESI,Systemd,boot.Linux,test,25.03158951,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
59,Linux Tests,vmlinux-4.4.186,TimingSimpleCPU,2,Classic,Init,boot.Linux,test,36008.07809,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
60,PARSEC Experiments,vmlinux-4.19.83,TimingSimpleCPU,1,MESI,Systemd,parsec.x264,simsmall,575.4706883,success,2.07979E+13,6952164,4334372,7076206,535.47,9518760050,1E+12,3722641642,3789063185,5.096967,5.09697E+12,15303173524,33664351,122496935,22255275,12543513,34798788,92168378,714730,22192446,0,958204,1
61,PARSEC Experiments,vmlinux-4.19.83,KVM,2,MESI,Systemd,parsec.ferret,simsmall,50.04925323,success,2.00313E+13,7187977475,3893184,7186122666,0.76,7.88716E+11,1E+12,5459953159,5459953159,0.599296,5.99296E+11,46273711741,0,0,0,0,0,0,0,0,0,0,0
62,Linux Tests,vmlinux-4.19.83,KVM,8,Classic,Init,boot.Linux,test,10.01693225,success,4.57039E+12,542565527,3622400,542542004,3.88,1.17906E+12,1E+12,2103035389,2103035389,4.570391,4.57039E+12,1.05487E+11,0,0,0,0,0,0,0,0,0,0,0
63,Linux Tests,vmlinux-5.4.49,DerivO3CPU,4,MESI,Init,boot.Linux,test,12652.91092,success,1.7026E+12,139243,4763724,306794,12617.02,134945032,1E+12,1756827957,3870827413,1.702605,1.7026E+12,1739690064,0,0,0,0,0,7050122617,2718,27401,0,6973634,1.07
64,Linux Tests,vmlinux-4.4.186,DerivO3CPU,2,MI,Systemd,boot.Linux,test,22194.20601,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
65,Linux Tests,vmlinux-4.19.83,AtomicCPU,8,Classic,Init,boot.Linux,test,1296.437352,success,1.89691E+12,828153,4396776,1695764,1284.54,1476727668,1E+12,1063794865,2178275437,1.896915,1.89691E+12,45562800029,24593,2015092934,180863638,101065564,281929202,1836756936,2177,11537,0,16324168,0
66,Linux Tests,vmlinux-4.4.186,KVM,1,MI,Systemd,boot.Linux,test,15.02589512,success,1.61686E+13,290091165,3996048,290083527,9.63,1.67886E+12,1E+12,2793696114,2793696114,16.168593,1.61686E+13,42301662713,0,0,0,0,0,0,0,0,0,0,0
67,Linux Tests,vmlinux-5.4.49,KVM,2,MESI,Init,boot.Linux,test,30.06523585,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
68,Linux Tests,vmlinux-4.4.186,KVM,8,MI,Systemd,boot.Linux,test,40.04690671,success,2.40035E+13,259388141,4098992,259385616,17.72,1.35428E+12,1E+12,4597382562,4597382562,24.003504,2.40035E+13,5.52833E+11,0,0,0,0,0,0,0,0,0,0,0
69,Linux Tests,vmlinux-5.4.49,KVM,1,MESI,Init,boot.Linux,test,25.06746984,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
70,Linux Tests,vmlinux-5.4.49,KVM,8,Classic,Systemd,boot.Linux,test,25.02785349,success,1.92223E+13,287662731,3629736,287658793,15.19,1.26541E+12,1E+12,4369698803,4369698803,19.222349,1.92223E+13,4.41396E+11,0,0,0,0,0,0,0,0,0,0,0
71,PARSEC Experiments,vmlinux-4.19.83,TimingSimpleCPU,2,MESI,Systemd,parsec.canneal,simsmall,2086.760731,success,2.07352E+13,2691027,4221632,2791796,2037.05,241335013,1E+12,5481758238,5687029558,0.491612,4.91612E+11,2946537189,158052371,348357196,78810908,25291865,104102773,243836667,43087405,134418018,0,7484849,1
72,Linux Tests,vmlinux-4.19.83,AtomicCPU,8,MESI,Init,boot.Linux,test,50.0596869,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
73,NPB Experiments,vmlinux-4.19.83,KVM,16,MESI,Systemd,npb.cg.A.x,n/a,275.2697024,success,2.28141E+13,1867221883,4197388,1867176078,11.24,1.95525E+11,1E+12,20982851151,20982851151,2.197273,2.19727E+12,85133836682,0,0,0,0,0,0,0,0,0,0,0
74,Linux Tests,vmlinux-4.4.186,TimingSimpleCPU,4,MI,Systemd,boot.Linux,test,18054.42865,success,8.24301E+12,147895,14588480,313648,18046.07,456776102,1E+12,2668920136,5660118473,8.243012,8.24301E+12,99009481747,75794893,5390564037,670909240,437167362,1108076602,4363697743,2118257,44328462,0,148267249,1.41
75,Linux Tests,vmlinux-4.4.186,KVM,4,MESI,Systemd,boot.Linux,test,36009.43483,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
76,Linux Tests,vmlinux-5.4.49,KVM,1,Classic,Init,boot.Linux,test,5.038628101,success,2.28642E+12,520305556,3399068,520226192,1.45,1.58178E+12,1E+12,751955693,751955693,2.286422,2.28642E+12,5884119373,0,0,0,0,0,0,0,0,0,0,0
77,Linux Tests,vmlinux-5.4.49,AtomicCPU,8,Classic,Systemd,boot.Linux,test,4434.712467,success,2.8785E+12,703445,13078076,1450107,4423.51,650727879,1E+12,3111695531,6414562234,2.878501,2.8785E+12,69153068173,76433851,6093531684,710078722,465136610,1175215332,5053458687,2115016,44825023,0,157021554,0
78,Linux Tests,vmlinux-4.14.134,KVM,4,MESI,Systemd,boot.Linux,test,50.04410839,success,1.54664E+13,269206422,3919544,269200000,13.26,1.16622E+12,1E+12,3570120784,3570120784,15.466437,1.54664E+13,1.73525E+11,0,0,0,0,0,0,0,0,0,0,0
79,NPB Experiments,vmlinux-4.19.83,KVM,64,MESI,Systemd,npb.lu.A.x,n/a,18005.31768,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
80,Linux Tests,vmlinux-4.14.134,AtomicCPU,2,Classic,Init,boot.Linux,test,1146.043703,success,1.77742E+12,674894,3841804,1635112,1140.43,1558550442,1E+12,769668002,1864728558,1.777416,1.77742E+12,10675941390,23144,1699126679,161834515,127594316,289428831,1484998247,1697,11529,0,16985440,0
81,Linux Tests,vmlinux-4.19.83,DerivO3CPU,8,Classic,Systemd,boot.Linux,test,36006.23534,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
82,Linux Tests,vmlinux-5.4.49,AtomicCPU,2,Classic,Systemd,boot.Linux,test,3744.067106,success,2.88134E+12,731952,10857164,1539008,3739.49,770518455,1E+12,2737126156,5755101375,2.881345,2.88134E+12,17317113439,75758308,5518763001,667881462,448005567,1115887029,4460505856,2114554,44324271,0,155238706,0
83,Linux Tests,vmlinux-4.14.134,AtomicCPU,4,MESI,Init,boot.Linux,test,35.0441103,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
84,Linux Tests,vmlinux-4.14.134,TimingSimpleCPU,1,Classic,Init,boot.Linux,test,2061.95486,success,1.79225E+12,488637,3684884,1217242,2058.02,870861207,1E+12,1005622777,2505105255,1.792247,1.79225E+12,5382122654,24825,2282370308,219648356,127454387,347102743,2068298501,2257,11529,0,15520328,1.18
85,Linux Tests,vmlinux-5.4.49,AtomicCPU,1,Classic,Systemd,boot.Linux,test,3623.859044,success,3.31346E+12,739644,10054356,1556203,3617.54,915942617,1E+12,2675688226,5629621462,3.313456,3.31346E+12,9951302120,74938934,5415784482,659405938,444268506,1103674444,4350078693,2104250,43744887,0,155545408,0
86,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.x264,native,525.4748826,success,1.92859E+15,2915350825,5709452,2915347217,160.19,8.54601E+11,1E+12,4.67023E+11,4.67023E+11,136.902517,1.36903E+14,3.39967E+11,0,0,0,0,0,0,0,0,0,0,0
87,Linux Tests,vmlinux-4.9.186,TimingSimpleCPU,8,Classic,Init,boot.Linux,test,36008.52351,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
88,Linux Tests,vmlinux-4.19.83,AtomicCPU,2,Classic,Init,boot.Linux,test,961.0589731,success,1.72498E+12,779958,3854120,1710350,953.46,1809172040,1E+12,743659740,1630753242,1.724976,1.72498E+12,10358842491,21473,1521704233,143999401,95373076,239372477,1334647891,1137,11537,0,15648124,0
89,Linux Tests,vmlinux-4.9.186,DerivO3CPU,4,MI,Systemd,boot.Linux,test,25.02978015,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
90,Linux Tests,vmlinux-4.14.134,KVM,2,MI,Systemd,boot.Linux,test,20.02132988,success,1.44396E+13,260968418,3997936,260963342,11.53,1.25246E+12,1E+12,3008636275,3008636275,14.439643,1.44396E+13,78112099147,0,0,0,0,0,0,0,0,0,0,0
91,Linux Tests,vmlinux-4.19.83,KVM,1,MESI,Systemd,boot.Linux,test,30.03487539,success,1.32347E+13,300269272,3867528,300262112,8.97,1.47488E+12,1E+12,2694379793,2694379793,13.234747,1.32347E+13,33951590053,0,0,0,0,0,0,0,0,0,0,0
92,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.canneal,simlarge,55.04842257,success,2.53864E+13,2829874060,3870244,2829725911,3.88,8.78375E+11,1E+12,10988208814,10988208814,3.410878,3.41088E+12,24832949897,0,0,0,0,0,0,0,0,0,0,0
93,Linux Tests,vmlinux-4.9.186,DerivO3CPU,2,MESI,Systemd,boot.Linux,test,2237.306049,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
94,Linux Tests,vmlinux-4.14.134,KVM,4,Classic,Init,boot.Linux,test,10.01493812,success,4.19753E+12,454967120,3462800,454938269,3.18,1.32036E+12,1E+12,1446272979,1446272979,4.197533,4.19753E+12,47661416254,0,0,0,0,0,0,0,0,0,0,0
95,PARSEC Experiments,vmlinux-4.19.83,KVM,8,MESI,Systemd,parsec.x264,native,470.4051144,success,2.69487E+14,2003862631,5845232,2003860812,233.45,6.8721E+11,1E+12,4.67799E+11,4.67799E+11,160.428485,1.60428E+14,3.81786E+12,0,0,0,0,0,0,0,0,0,0,0
96,Linux Tests,vmlinux-4.19.83,AtomicCPU,4,Classic,Systemd,boot.Linux,test,3988.328465,success,3.02745E+12,687765,11922652,1438707,3982.29,760228512,1E+12,2738874851,5729343250,3.027447,3.02745E+12,36374411460,76183626,5457993364,668731832,441433244,1110165076,4423434218,2152104,44578609,0,150594592,0
97,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.freqmine,simsmall,40.04382133,success,1.59998E+13,5645535214,3868964,5644485441,0.98,8.57967E+11,1E+12,5513126818,5513126818,0.838024,8.38024E+11,17133109080,0,0,0,0,0,0,0,0,0,0,0
98,Linux Tests,vmlinux-4.4.186,DerivO3CPU,2,MI,Init,boot.Linux,test,13863.702,success,1.75821E+12,135021,5197164,331810,13857.17,126881100,1E+12,1871008430,4597945765,1.758213,1.75821E+12,2251370697,0,0,0,0,0,8478905285,5668,27384,0,8983722,1.24
99,Linux Tests,vmlinux-5.4.49,DerivO3CPU,4,Classic,Systemd,boot.Linux,test,36007.74847,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
100,Linux Tests,vmlinux-4.9.186,DerivO3CPU,8,Classic,Systemd,boot.Linux,test,20.0235436,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
101,Linux Tests,vmlinux-5.4.49,AtomicCPU,1,MI,Systemd,boot.Linux,test,5.007779121,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
102,Linux Tests,vmlinux-4.14.134,DerivO3CPU,8,Classic,Init,boot.Linux,test,3047.829622,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
